"file","status","slots"
"array_bounds_error.bas","error",""
"array_explicit_lower_bound.bas","ok","0,11,0,11"
"array_multidim_indexing.bas","ok","0,0,0,0,0,17,17"
"array_option_base_one_bounds.bas","ok","4,0,9,4,9"
"array_store_load.bas","ok","5,7,0,7"
"array_zero_index.bas","ok","3,0,0,3"
"byref_typed_mismatch_error.bas","error",""
"call_coercion_mixed_variant_to_long.bas","ok","5"
"class_lifecycle_initialize_fail.bas","error",""
"class_lifecycle_resume_next_ok.bas","ok","3"
"class_lifecycle_terminate_fail.bas","error",""
"coercion_arg_object_to_long_error.bas","error",""
"coercion_assign_object_to_long_error.bas","error",""
"com_dispatch_array_argument.bas","ok","25013"
"com_dispatch_createobject_invoke.bas","ok","5016"
"com_dispatch_invoke_chain.bas","ok","5009,5014"
"com_dispatch_invoke_deterministic.bas","ok","5018"
"conditional_compilation_basic.bas","ok","8"
"consolidate_collection_host_mix.bas","ok","1,1,1"
"consolidate_error_intrinsics_mix.bas","ok","12,4,1"
"consolidate_language_stdlib_mix.bas","ok","3,5008"
"conversion_cint_basic.bas","ok","5"
"conversion_cint_to_object_error.bas","error",""
"conversion_nested_clng_cint.bas","ok","7"
"conversion_val_str_subset.bas","ok","9"
"declaration_collision_proc_name_error.bas","error",""
"declare_function_stub_basic.bas","ok","0"
"declare_sub_stub_basic.bas","ok","5"
"default_type_defobj_implicit_error.bas","error",""
"default_type_param_defobj_error.bas","error",""
"do_exit_do.bas","ok","4"
"do_loop_until_basic.bas","ok","3"
"do_loop_while_basic.bas","ok","3"
"do_until_basic.bas","ok","3"
"do_while_basic.bas","ok","3"
"duplicate_dim_error.bas","error",""
"duplicate_label_error.bas","error",""
"enum_basic.bas","ok","3,4,5"
"erase_array_basic.bas","ok","0,0,0,0,0"
"err_clear_basic.bas","ok","0"
"for_basic.bas","ok","6,4"
"for_each_array_literal_basic.bas","ok","3,3"
"for_each_array_variable_basic.bas","ok","4,5,6,6,6"
"for_exit_for_basic.bas","ok","1,1"
"for_step_negative.bas","ok","3,-1"
"for_step_positive.bas","ok","6,7"
"for_step_zero_error.bas","error",""
"for_zero_iter.bas","ok","5,5"
"function_call_basic.bas","ok","9"
"function_return_explicit_as_precedence_error.bas","error",""
"gosub_basic.bas","ok","4"
"gosub_missing_label_error.bas","error",""
"gosub_repeated.bas","ok","5"
"goto_label_basic.bas","ok","3"
"goto_line_number_statement_basic.bas","ok","5"
"goto_missing_label_error.bas","error",""
"goto_numeric_basic.bas","ok","5"
"if_and.bas","ok","7"
"if_else_path.bas","ok","20"
"if_elseif_else_path.bas","ok","99"
"if_elseif_path.bas","ok","30"
"if_false.bas","ok","0"
"if_ge.bas","ok","5"
"if_lt.bas","ok","4"
"if_neq.bas","ok","11"
"if_or_not.bas","ok","9"
"if_true.bas","ok","7"
"jit_intrinsic_math_subset.bas","ok","1"
"late_bound_default_member_error.bas","error",""
"late_bound_default_member_exec.bas","ok","0,7"
"late_bound_named_argument_exec.bas","ok","0,1"
"late_call_named_argument_error.bas","error",""
"line_continuation_basic.bas","ok","3"
"module_const_basic.bas","ok","5,7"
"nested_if_for.bas","ok","5,3"
"object_collection_add_item.bas","ok","1,1"
"object_collection_count_chain.bas","ok","2,2"
"object_collection_remove_count.bas","ok","0"
"on_error_default_fail.bas","error",""
"on_error_goto_label_missing_label_error.bas","error",""
"on_error_goto_label_resume.bas","ok","6"
