"file","status","values"
"array_bounds_error.bas","error",""
"array_explicit_lower_bound.bas","ok","empty|empty|i32:11|empty|i32:11"
"array_multidim_indexing.bas","ok","empty|empty|empty|empty|empty|empty|i32:17|i32:17"
"array_option_base_one_bounds.bas","ok","empty|i32:4|empty|i32:9|i32:4|i32:9"
"array_store_load.bas","ok","empty|i32:5|i32:7|empty|i32:7"
"array_zero_index.bas","ok","empty|i32:3|empty|empty|i32:3"
"assignment_set_let_basic.bas","error",""
"byref_typed_mismatch_error.bas","error",""
"call_coercion_mixed_variant_to_long.bas","ok","i32:5"
"class_lifecycle_initialize_fail.bas","ok","i32:1"
"class_lifecycle_resume_next_ok.bas","ok","i32:3"
"class_lifecycle_terminate_fail.bas","ok","i32:1"
"coercion_arg_object_to_long_error.bas","error",""
"coercion_assign_object_to_long_error.bas","error",""
"coercion_cverr_abs_normalization.bas","ok","error:4|error:4|bool:true"
"coercion_cverr_range_predicates.bas","ok","bool:true|bool:true|bool:true|bool:true|bool:false|i32:10"
"coercion_null_empty_error_predicates.bas","ok","bool:true|bool:true|bool:true|bool:false|bool:false"
"conditional_compilation_basic.bas","ok","i32:8"
"consolidate_error_intrinsics_mix.bas","ok","i32:12|error:4|i32:1"
"consolidate_for_gosub_mix.bas","ok","i32:30|i32:5"
"consolidate_for_select_call.bas","ok","i32:32|i32:6"
"consolidate_gosub_error_mix.bas","ok","i32:10|i32:77"
"consolidate_nested_call_chain.bas","ok","i32:10"
"consolidate_select_conversion.bas","ok","i32:7|i32:20"
"consolidate_while_byref_mix.bas","ok","i32:128|i32:7"
"conversion_cint_basic.bas","ok","i32:5"
"conversion_cint_to_object_error.bas","error",""
"conversion_clng_cint_chain.bas","ok","i32:7|i32:10|i32:8"
"conversion_extended_scalar_subset.bas","ok","i32:7|i32:8|i32:9|i32:10"
"conversion_nested_clng_cint.bas","ok","i32:7"
"conversion_val_str_subset.bas","ok","i32:9"
"declaration_collision_proc_name_error.bas","ok","i32:1"
"declare_function_stub_basic.bas","error",""
"declare_sub_stub_basic.bas","error",""
"default_type_defobj_implicit_error.bas","error",""
"default_type_param_defobj_error.bas","error",""
"diagnostic_phase_compile_wins.bas","error",""
"do_exit_do.bas","ok","i32:4"
"do_loop_until_basic.bas","ok","i32:3"
"do_loop_while_basic.bas","ok","i32:3"
"do_until_basic.bas","ok","i32:3"
"do_while_basic.bas","ok","i32:3"
"do_while_exit_condition.bas","ok","i32:64|i32:6"
"duplicate_dim_error.bas","error",""
"duplicate_label_error.bas","error",""
"enum_arithmetic_use.bas","ok","i32:10|i32:1|i32:5|i32:6|i32:9"
"enum_basic.bas","ok","i32:3|i32:4|i32:5"
"enum_select_case_use.bas","ok","i32:3|i32:2|i32:1|i32:20|i32:2"
"erase_array_basic.bas","ok","empty|empty|empty|empty|empty"
"err_clear_basic.bas","ok","i32:0"
"err_clear_full_surface_reset.bas","ok","i32:0|string:""""|string:""""|i32:0|string:""""|i32:0"
"err_proc_call_boundary_clears.bas","ok","i32:7"
"err_resume_next_clears.bas","ok","i32:20"
"err_surface_fields_subset.bas","ok","i32:9|string:""""|string:""""|i32:0|string:""""|i32:0"
"error_goto_label_resume_next.bas","ok","i32:20|i32:42"
"error_nested_mode_transitions.bas","ok","i32:5|i32:20|i32:0|i32:6"
"error_raise_custom_clear_cycle.bas","ok","i32:100|i32:0|i32:200"
"financial_algorithm_rate_nper_subset.bas","ok","f64:0.029228540769134|f64:10"
"financial_tolerance_mixed_modes.bas","error",""
"financial_tolerance_non_convergence.bas","error",""
"for_basic.bas","ok","i32:6|i32:4"
"for_each_array_literal_basic.bas","ok","i32:3|empty"
"for_each_array_variable_basic.bas","ok","empty|i32:4|i32:5|i32:6|i32:6|i32:6"
"for_exit_for_basic.bas","ok","i32:1|i32:1"
"for_nested_select_case.bas","ok","i32:21|i32:5"
"for_step_negative.bas","ok","i32:3|i32:-1"
"for_step_positive.bas","ok","i32:6|i32:7"
"for_zero_iter.bas","ok","i32:5|i32:5"
"function_call_basic.bas","ok","i32:9"
"function_return_explicit_as_precedence_error.bas","error",""
"gosub_basic.bas","ok","i32:4"
"gosub_loop_accumulate.bas","ok","i32:60|i32:4"
"gosub_missing_label_error.bas","error",""
"gosub_nested_labels.bas","ok","i32:15"
"gosub_repeated.bas","ok","i32:5"
"goto_label_basic.bas","ok","i32:3"
"goto_line_number_statement_basic.bas","ok","i32:5"
"goto_missing_label_error.bas","error",""
"goto_numeric_basic.bas","ok","i32:5"
"if_and.bas","ok","i32:7"
"if_else_path.bas","ok","i32:20"
"if_elseif_else_path.bas","ok","i32:99"
"if_elseif_path.bas","ok","i32:30"
"if_false.bas","ok","i32:0"
"if_ge.bas","ok","i32:5"
"if_lt.bas","ok","i32:4"
"if_neq.bas","ok","i32:11"
"if_or_not.bas","ok","i32:9"
"if_true.bas","ok","i32:7"
"introspection_vartype_isnumeric_tags.bas","ok","i32:8|i32:1|i32:10|i32:2|bool:false|bool:false|bool:false|bool:true"
"jit_intrinsic_math_subset.bas","ok","i16:1"
"line_continuation_basic.bas","ok","i32:3"
"module_const_basic.bas","ok","i32:5|i32:7"
"nested_if_for.bas","ok","i32:5|i32:3"
"object_collection_add_item.bas","ok","i32:1|i32:1"
"object_collection_count_chain.bas","ok","i32:2|i32:2"
"object_collection_remove_count.bas","ok","i32:0"
"on_error_default_fail.bas","error",""
"on_error_goto_label_missing_label_error.bas","error",""
"on_error_goto_label_resume.bas","ok","i32:100"
"on_error_goto_label_then_goto_zero_error.bas","error",""
"on_error_goto_zero_fail.bas","error",""
"on_error_resume_continue.bas","ok","i32:2"
"on_error_resume_next.bas","ok","i32:5"
"operator_arithmetic_object_plus_error.bas","error",""
"operator_comparison_object_long_error.bas","error",""
"option_explicit_error.bas","error",""
"option_explicit_ok.bas","ok","i32:3"
"params_byref_error.bas","ok",""
"params_byref_nested_modify.bas","ok","i32:111"
"params_byref_swap.bas","ok","i32:10|i32:5"
"params_byref.bas","ok","i32:2"
"params_byval.bas","ok","i32:1"
"params_named_bind.bas","ok","i32:9"
"params_named_optional_omit.bas","ok","i32:7"
"params_named_positional_after_named_error.bas","error",""
"params_optional_default.bas","ok","i32:7"
"params_optional_override.bas","ok","i32:9"
"params_paramarray_empty.bas","ok","i32:-1"
"params_paramarray_named_error.bas","error",""
"params_paramarray_pack.bas","ok","i32:2"
"proc_call_chain.bas","ok","i32:1"
"proc_call_local_scope.bas","ok","i32:2"
"property_get_declaration_basic.bas","ok","i32:4"
"property_get_expression_basic.bas","ok","i32:9"
"property_let_byref_route.bas","ok","i32:1"
