id,file,expected_values,expected_procedures,expected_descriptor_tokens,expected_call_observation_tokens,expected_call_descriptor_tokens,expected_array_shape_tokens,expected_udt_descriptor_tokens,expected_object_descriptor_tokens,expected_lifecycle_tokens
VMR01_MAIN_SCALAR,vmr01_identity_main_scalar.bas,i32:7|i32:12,Main,main:x:Local:Long:ScalarZero:I32;main:y:Local:Long:ScalarZero:I32,,,,,,
VMR01_TYPED_FUNCTION,vmr01_identity_typed_function.bas,string:kg,Main|Test,main:observed:Local:Variant:Empty:Variant;test:dbl:Parameter:Double:CallerProvided:F64;test:str:Parameter:String:CallerProvided:BStr;test:test:ReturnValue:Variant:Empty:Variant,test:param:dbl:gap:byref-copyback-not-observed;test:param:str:gap:byref-copyback-not-observed;test:return:copy-observed,,,,,
VMR02_PRIMITIVE_STRING_VARIANT,vmr02_descriptor_primitive_string_variant.bas,i32:4|f64:2.5|bool:true|string:ok|string:ok,Main,main:count:Local:Long:ScalarZero:I32;main:scale:Local:Double:ScalarZero:F64;main:ready:Local:Boolean:False:Boolean;main:label:Local:String:EmptyString:BStr;main:observed:Local:Variant:Empty:Variant,,,,,,main:cleanup:slot:main:label:lifecycle-id=LIFE-BSTR-SLOT;main:cleanup:slot:main:label:success-exit=drop-owned-slot;main:cleanup:slot:main:observed:lifecycle-id=LIFE-VARIANT-PAYLOAD-SLOT
VMR02_UDT_FIELD_SLOTS,vmr02_descriptor_udt_field_slots.bas,empty|i32:7|i32:9|string:pt|empty|i32:8|i32:9|string:pt|i32:17,Main,main:p:Local:Unknown:UdtDefault:UdtFields { descriptor: "udt:point" };main:p_x:Local:Long:ScalarZero:I32;main:p_y:Local:Long:ScalarZero:I32;main:p_caption:Local:String:EmptyString:BStr;main:q:Local:Unknown:UdtDefault:UdtFields { descriptor: "udt:point" };main:q_x:Local:Long:ScalarZero:I32;main:q_y:Local:Long:ScalarZero:I32;main:q_caption:Local:String:EmptyString:BStr;main:total:Local:Long:ScalarZero:I32,,,,main:point:descriptor-id=udt:point;main:point:storage=flattenedfieldslots;main:point:copy=fieldwisecopy;main:point:cleanup=bstr:true:object:false:safearray:false:variant:false;main:point:instance:p:base-slot-known;main:point:instance:q:base-slot-known;main:point:field:x:index=0;main:point:field:x:type=long;main:point:field:x:carrier=i32;main:point:field:x:alias:p_x:slot-known;main:point:field:caption:carrier=bstr;main:point:field:caption:alias:p_caption:slot-known,,main:cleanup:udt:point:lifecycle-id=LIFE-UDT-FIELD-OWNING;main:cleanup:udt:point:success-exit=drop-owned-fields;main:cleanup:udt:point:branch-exit=drop-owned-fields;main:cleanup:udt:point:error-exit=drop-owned-fields;main:cleanup:udt:point:field:caption:carrier-lifecycle-id=LIFE-BSTR-VARIABLE-STRING;main:cleanup:udt:point:field:caption:alias:p_caption:runtime-carrier=variant-string
VMR05_UDT_DESCRIPTOR_MEMBERS,vmr05_udt_descriptor_members.bas,empty|string:abc|i32:4|i32:5|empty|i32:3|i32:6|i32:18,Main,main:r:Local:Unknown:UdtDefault:UdtFields { descriptor: "udt:record" };main:r_name:Local:String:EmptyString:BStr;main:r_scores_1:Local:Long:ScalarZero:I32;main:r_scores_2:Local:Long:ScalarZero:I32;main:r_inner:Local:Unknown:UdtDefault:UdtFields { descriptor: "udt:point" };main:r_inner_x:Local:Long:ScalarZero:I32;main:r_inner_y:Local:Long:ScalarZero:I32;main:total:Local:Long:ScalarZero:I32,,,,main:record:descriptor-id=udt:record;main:record:init=recursive-field-defaults;main:record:layout=descriptor-field-order;main:record:field:name:fixed-string-len=5;main:record:field:name:layout-index=0;main:record:field:scores:array-dim1=1..2;main:record:field:scores:layout-index=1;main:record:field:scores:alias:r_scores_1:slot-known;main:record:field:scores:alias:r_scores_2:slot-known;main:record:field:inner:nested-udt=point;main:record:field:inner:carrier=udtfields { descriptor: "udt:point" };main:record:field:inner:layout-index=2;main:record:field:inner_x:alias:r_inner_x:slot-known;main:record:cleanup=bstr:true:object:false:safearray:false:variant:false;main:point:descriptor-id=udt:point,,main:cleanup:slot:main:r_name:lifecycle-id=LIFE-BSTR-SLOT;main:cleanup:udt:record:lifecycle-id=LIFE-UDT-FIELD-OWNING;main:cleanup:udt:record:success-exit=drop-owned-fields;main:cleanup:udt:record:branch-exit=drop-owned-fields;main:cleanup:udt:record:error-exit=drop-owned-fields;main:cleanup:udt:record:field:name:carrier-lifecycle-id=LIFE-BSTR-FIXED-STRING;main:cleanup:udt:record:field:name:alias:r_name:runtime-carrier=variant-string
VMR05_OBJECT_DESCRIPTOR_IDENTITY,vmr05_object_descriptor_identity.bas,empty|i32:1,Main,main:o:Local:Object:Nothing:ObjectRef;main:observed:Local:Long:ScalarZero:I32,,,,,main:object:descriptor-id=object:object;main:object:kind=object;main:object:carrier=objectref;main:object:initial=nothing;main:object:activation=none;main:object:event-binding=none;main:object:default-member=nodefaultmember;main:object:support=vmrunnable;main:object:instance:o:slot-known;main:object:instance:o:initial=nothing;main:object:instance:o:carrier=objectref,
VMR03_SIGNATURE_CALLS,vmr03_signature_call_binding.bas,i32:8|i32:5|i32:15|i32:8|i32:7|i32:2|i32:8|i32:8,Capture|Defaulted|Main|Mutate|Property_Let_Value|TakeByVal,main:seed:Local:Long:ScalarZero:I32;main:afterbyval:Local:Long:ScalarZero:I32;main:byvalresult:Local:Long:ScalarZero:I32;main:byrefobserved:Local:Long:ScalarZero:I32;main:optionalobserved:Local:Long:ScalarZero:I32;main:packobserved:Local:Variant:Empty:Variant;main:propsource:Local:Long:ScalarZero:I32;main:propertyobserved:Local:Long:ScalarZero:I32;takebyval:value:Parameter:Long:CallerProvided:I32;takebyval:takebyval:ReturnValue:Long:ScalarZero:I32;mutate:target:Parameter:Long:CallerProvided:I32;defaulted:value:Parameter:Long:CallerProvided:I32;defaulted:defaulted:ReturnValue:Long:ScalarZero:I32;capture:target:Parameter:Variant:CallerProvided:Variant;capture:items:Parameter:Array:CallerProvided:SafeArray;property_let_value:newvalue:Parameter:Long:CallerProvided:I32,takebyval:param:value:byval-no-copyback;takebyval:return:copy-observed;mutate:param:target:byref-copyback-observed;defaulted:param:value:optional-default-i32-observed;defaulted:return:copy-observed;capture:param:target:byref-copyback-observed;capture:param:items:paramarray-pack-observed;property_let_value:param:newvalue:property-value-byval-no-copyback,,,,,
VMR04_CALL_ARGUMENT_BINDING,vmr04_call_argument_binding.bas,i32:4|i32:9|i32:4|f64:4.5|i32:5|i32:7|i32:2|i32:-1|i32:1,Capture|Defaulted|Main|Mutate|MaybeVariantTag|TakeDouble,main:seed:Local:Long:ScalarZero:I32;main:byrefalias:Local:Long:ScalarZero:I32;main:byrefexpressionunchanged:Local:Long:ScalarZero:I32;main:byvalcoerced:Local:Double:ScalarZero:F64;main:byvaltype:Local:Long:ScalarZero:I32;main:defaultedobserved:Local:Long:ScalarZero:I32;main:missingobserved:Local:Long:ScalarZero:I32;main:emptypack:Local:Variant:Empty:Variant;main:packedpack:Local:Variant:Empty:Variant;mutate:target:Parameter:Long:CallerProvided:I32;takedouble:value:Parameter:Double:CallerProvided:F64;takedouble:observedtype:Parameter:Long:CallerProvided:I32;takedouble:takedouble:ReturnValue:Double:ScalarZero:F64;defaulted:value:Parameter:Long:CallerProvided:I32;defaulted:defaulted:ReturnValue:Long:ScalarZero:I32;maybevarianttag:value:Parameter:Variant:CallerProvided:Variant;maybevarianttag:maybevarianttag:ReturnValue:Long:ScalarZero:I32;capture:target:Parameter:Variant:CallerProvided:Variant;capture:items:Parameter:Array:CallerProvided:SafeArray,mutate:param:target:byref-copyback-observed;mutate:param:target:gap:byref-copyback-not-observed;takedouble:param:value:byval-no-copyback;takedouble:param:observedtype:byref-copyback-observed;takedouble:return:copy-observed;defaulted:param:value:optional-default-i32-observed;defaulted:return:copy-observed;capture:param:target:byref-copyback-observed;capture:param:items:paramarray-pack-observed,main->mutate:arg:target:binding=byrefalias;main->mutate:arg:target:writeback-required;main->mutate:arg:target:binding=byrefexpressiontemp;main->mutate:arg:target:no-writeback-temp;main->takedouble:arg:value:binding=byvalcopy;main->takedouble:arg:value:coercion-id=COERCE-CALL-BYVAL-DECLARED-TARGET;main->takedouble:arg:value:coercion-helper-id=COERCE-LET-NUMERIC-WIDEN;main->takedouble:arg:value:runtime-helper=oxvba_runtime::coerce_to;main->takedouble:arg:observedtype:binding=byrefalias;main->takedouble:arg:observedtype:writeback-required;main->takedouble:return:copyout-required;main->defaulted:arg:value:binding=optionaldefault;main->defaulted:arg:value:optional-default=i32-7;main->maybevarianttag:arg:value:binding=optionaldefault;main->maybevarianttag:arg:value:optional-default=variant-missing-error-448;main->capture:arg:target:binding=byrefalias;main->capture:arg:items:binding=paramarraypack;main->capture:arg:items:paramarray-count=0;main->capture:arg:items:paramarray-count=2,,,,
VMR04_BYREF_EXPRESSION_FORMS,vmr04_byref_expression_forms.bas,i32:10|i32:11|i32:10|i32:10|i32:1|i32:1,Main|Touch|MakeLong,main:seed:Local:Long:ScalarZero:I32;main:aliasobserved:Local:Long:ScalarZero:I32;main:forcedbyvalobserved:Local:Long:ScalarZero:I32;main:expressionobserved:Local:Long:ScalarZero:I32;main:literalsurvived:Local:Long:ScalarZero:I32;main:functionsurvived:Local:Long:ScalarZero:I32;touch:target:Parameter:Long:CallerProvided:I32;makelong:makelong:ReturnValue:Long:ScalarZero:I32,touch:param:target:byref-copyback-observed;touch:param:target:gap:byref-copyback-not-observed;makelong:return:copy-observed,main->touch:arg:target:binding=byrefalias;main->touch:arg:target:writeback-required;main->touch:arg:target:binding=byrefexpressiontemp;main->touch:arg:target:no-writeback-temp;main->touch:arg:target:force-byval;main->touch:arg:target:expr=expression;main->touch:arg:target:expr=literal;main->touch:arg:target:expr=procedurecall,,,,
VMR04_CALL_DIAGNOSTIC_DESCRIPTOR_BASELINE,vmr04_call_diagnostic_descriptor_baseline.bas,i32:1|i32:9|i32:1,Capture|Fill|Main,main:target:Local:Long:ScalarZero:I32;main:namedobserved:Local:Long:ScalarZero:I32;main:packedupper:Local:Long:ScalarZero:I32;fill:target:Parameter:Long:CallerProvided:I32;fill:value:Parameter:Long:CallerProvided:I32;capture:target:Parameter:Long:CallerProvided:I32;capture:items:Parameter:Array:CallerProvided:SafeArray,fill:param:target:byref-copyback-observed;fill:param:value:byval-no-copyback;capture:param:target:byref-copyback-observed;capture:param:items:paramarray-pack-observed,main->fill:arg:target:source=named;main->fill:arg:target:binding=byrefalias;main->fill:arg:target:writeback-required;main->fill:arg:value:source=named;main->fill:arg:value:binding=byvalcopy;main->capture:arg:target:source=named;main->capture:arg:target:binding=byrefalias;main->capture:arg:items:binding=paramarraypack;main->capture:arg:items:paramarray-count=2,,,,
