"lane_id","test_id","profile","runtime_class","clause_ids","status","diagnostic_code","hresult","evidence_path","repro_command"
"E0","E0-001","windows","windows-headless","HAL-TLIB-RESOLVE;HAL-TLIB-LOAD;HAL-TLIB-CACHE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E0_E0-001_20260305T200201Z.log","cargo test -p oxvba-hal windows_typelib_resolve_load_and_cache_roundtrip -- --nocapture"
"E0","E0-002","windows","windows-headless","HAL-TLIB-INVALIDATE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E0_E0-002_20260305T200201Z.log","cargo test -p oxvba-hal windows_typelib_reference_invalidation_scope_is_stable -- --nocapture"
"E1","E1-001","windows","windows-headless","PMR-TLIB-IDENTITY-UNIQUE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E1_E1-001_20260305T200201Z.log","cargo test -p oxvba-host type_library_resolution_binds_unique_libid_identity -- --nocapture"
"E1","E1-002","windows","windows-headless","PMR-TLIB-IDENTITY-AMBIGUOUS","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E1_E1-002_20260305T200201Z.log","cargo test -p oxvba-host type_library_resolution_reports_ambiguous_libid_identity -- --nocapture"
"E2","E2-001","windows","windows-headless","BIND-TLIB-ASNEW","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E2_E2-001_20260305T200201Z.log","cargo test -p oxvba-compiler compile_project_rewrites_as_new_external_type_to_createobject_selector -- --nocapture"
"E2","E2-002","windows","windows-headless","BIND-TLIB-MEMBER-REWRITE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E2_E2-002_20260305T200201Z.log","cargo test -p oxvba-compiler compile_project_rewrites_early_bound_member_call_to_dispatchinvoke_subset -- --nocapture"
"E2","E2-003","windows","windows-headless","BIND-TLIB-MEMBER-DIAG","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E2_E2-003_20260305T200201Z.log","cargo test -p oxvba-compiler compile_project_rejects_unsupported_external_member_token -- --nocapture"
"E3","E3-001","windows","windows-headless","RUNTIME-EARLYBIND-SMOKE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E3_E3-001_20260305T200201Z.log","cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_project_executes_with_typed_declarations_subset -- --nocapture"
"E3","E3-002","windows","windows-headless","RUNTIME-EARLYBIND-VM-JIT","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E3_E3-002_20260305T200201Z.log","cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_project_vm_jit_snapshots_match_for_subset -- --nocapture"
"E3","E3-003","windows","windows-headless","RUNTIME-EARLYBIND-ERROR","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E3_E3-003_20260305T200201Z.log","cargo test -p oxvba-host --test com_early_project_end_to_end early_bound_project_reports_compile_error_for_unsupported_member -- --nocapture"
"E4","E4-001","windows","windows-headless","CACHE-INVALIDATE-REFERENCE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E4_E4-001_20260305T200201Z.log","cargo test -p oxvba-hal windows_typelib_reference_invalidation_scope_is_stable -- --nocapture"
"E4","E4-002","windows","windows-headless","CACHE-REPLAY-DETERMINISTIC","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E4_E4-002_20260305T200201Z.log","cargo test -p oxvba-hal windows_typelib_resolve_load_and_cache_roundtrip -- --nocapture"
"E5","E5-001","windows","windows-headless","E2E-MIXED-EARLY-LATE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E5_E5-001_20260305T200201Z.log","cargo test -p oxvba-host --test com_early_project_end_to_end early_and_late_dispatch_paths_can_mix_in_one_project -- --nocapture"
"E5","E5-002","windows","windows-headless","E2E-PROJECT-SUITE","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E5_E5-002_20260305T200201Z.log","cargo test -p oxvba-host --test com_early_project_end_to_end -- --nocapture"
"E6","E6-001","windows","windows-headless","FORMAL-LANE-REGISTRY","pass","","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E6_E6-001_20260305T200201Z.log","cargo test -p oxvba-host formal_v466_early_binding_terminal_artifacts_exist -- --nocapture"
"E6","E6-002","windows","windows-headless","FORMAL-KANI-PMR-TLIB","deferred","FORMAL-DEFERRED-KANI","","docs\evidence\conformance\com_early\lanes\COM_EARLY_E6_E6-002_20260305T200201Z.log","cargo kani -p oxvba-host --harness pmr_typelib_resolution_transitions_typelib_refs_out_of_unbound"
