"file","oracle_status","oracle_slots","golden_status","golden_slots","match","notes"
"array_bounds_error.bas","error","","error","","true","VBA runtime error RTMERR:9"
"array_explicit_lower_bound.bas","ok","0,11","ok","0,11,0,11","false","oracle=ok/0,11 golden=ok/0,11,0,11"
"array_multidim_indexing.bas","ok","0,17","ok","0,0,0,0,0,17,17","false","oracle=ok/0,17 golden=ok/0,0,0,0,0,17,17"
"array_option_base_one_bounds.bas","ok","0,4,9","ok","4,0,9,4,9","false","oracle=ok/0,4,9 golden=ok/4,0,9,4,9"
"array_store_load.bas","ok","0,7","ok","5,7,0,7","false","oracle=ok/0,7 golden=ok/5,7,0,7"
"array_zero_index.bas","ok","0,3","ok","3,0,0,3","false","oracle=ok/0,3 golden=ok/3,0,0,3"
"assignment_set_let_basic.bas","error","","ok","7","false","oracle=error/ golden=ok/7; 0x800A9C68"
"byref_typed_mismatch_error.bas","error","","error","","true","0x800A9C68"
"call_coercion_mixed_variant_to_long.bas","ok","5","ok","5","true",""
"class_lifecycle_initialize_fail.bas","ok","1","error","","false","oracle=ok/1 golden=error/"
"class_lifecycle_resume_next_ok.bas","ok","3","ok","3","true",""
"class_lifecycle_terminate_fail.bas","ok","1","error","","false","oracle=ok/1 golden=error/"
"coercion_arg_object_to_long_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"coercion_assign_object_to_long_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"coercion_cverr_abs_normalization.bas","error","","ok","-899999996,-899999996,1","false","oracle=error/ golden=ok/-899999996,-899999996,1; VBA runtime error RTMERR:5"
"coercion_cverr_range_predicates.bas","error","","ok","1,1,1,1,0,10","false","oracle=error/ golden=ok/1,1,1,1,0,10; VBA runtime error RTMERR:5"
"coercion_null_empty_error_predicates.bas","ok","1,1,1,0,0","ok","1,1,1,0,0","true",""
"com_dispatch_array_argument.bas","skip","","ok","25013","","non-portable (OxVba synthetic builtins)"
"com_dispatch_createobject_invoke.bas","skip","","ok","5016","","non-portable (OxVba synthetic builtins)"
"com_dispatch_invoke_chain.bas","skip","","ok","5009,5014","","non-portable (OxVba synthetic builtins)"
"com_dispatch_invoke_deterministic.bas","skip","","ok","5018","","non-portable (OxVba synthetic builtins)"
"conditional_compilation_basic.bas","ok","8","ok","8","true",""
"consolidate_collection_host_mix.bas","skip","","ok","1,1,1","","non-portable (OxVba synthetic builtins)"
"consolidate_error_intrinsics_mix.bas","ok","12,-899999996,1","ok","12,-899999996,1","true",""
"consolidate_language_stdlib_mix.bas","skip","","ok","3,5008","","non-portable (OxVba synthetic builtins)"
"conversion_cint_basic.bas","ok","5","ok","5","true",""
"conversion_cint_to_object_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"conversion_extended_scalar_subset.bas","ok","7,8,9,10","ok","7,8,9,10","true",""
"conversion_nested_clng_cint.bas","ok","7","ok","7","true",""
"conversion_val_str_subset.bas","ok","9","ok","9","true",""
"declaration_collision_proc_name_error.bas","ok","1","error","","false","oracle=ok/1 golden=error/"
"declare_function_stub_basic.bas","skip","","error","","","non-portable (OxVba synthetic builtins)"
"declare_sub_stub_basic.bas","skip","","error","","","non-portable (OxVba synthetic builtins)"
"default_type_defobj_implicit_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"default_type_param_defobj_error.bas","error","","error","","true","0x800A9C68"
"diagnostic_phase_compile_wins.bas","error","","error","","true","0x800A9C68"
"do_exit_do.bas","ok","4","ok","4","true",""
"do_loop_until_basic.bas","ok","3","ok","3","true",""
"do_loop_while_basic.bas","ok","3","ok","3","true",""
"do_until_basic.bas","ok","3","ok","3","true",""
"do_while_basic.bas","ok","3","ok","3","true",""
"duplicate_dim_error.bas","error","","error","","true","0x800A9C68"
"duplicate_label_error.bas","error","","error","","true","0x800A9C68"
"enum_basic.bas","ok","5","ok","3,4,5","false","oracle=ok/5 golden=ok/3,4,5"
"erase_array_basic.bas","ok","0,0","ok","0,0,0,0,0","false","oracle=ok/0,0 golden=ok/0,0,0,0,0"
"err_clear_basic.bas","ok","0","ok","0","true",""
"err_clear_full_surface_reset.bas","ok","0,0,0,0,0,0","ok","0,0,0,0,0,0","true",""
"err_proc_call_boundary_clears.bas","ok","7","ok","0","false","oracle=ok/7 golden=ok/0"
"err_resume_next_clears.bas","ok","20","ok","0","false","oracle=ok/20 golden=ok/0"
"err_surface_fields_subset.bas","ok","9,0,0,1000009,0,0","ok","9,9,0,0,0,0","false","oracle=ok/9,0,0,1000009,0,0 golden=ok/9,9,0,0,0,0"
"error_nested_mode_transitions.bas","ok","5,20,0,6","ok","5,0,0,6","false","oracle=ok/5,20,0,6 golden=ok/5,0,0,6"
