"file","oracle_status","oracle_values","golden_status","golden_values","match","notes"
"array_explicit_lower_bound.bas","ok","empty|i16:11","ok","empty|empty|i32:11|empty|i32:11","false","oracle=ok/empty|i16:11 golden=ok/empty|empty|i32:11|empty|i32:11"
"array_multidim_indexing.bas","ok","empty|i16:17","ok","empty|empty|empty|empty|empty|empty|i32:17|i32:17","false","oracle=ok/empty|i16:17 golden=ok/empty|empty|empty|empty|empty|empty|i32:17|i32:17"
"array_option_base_one_bounds.bas","ok","empty|i16:4|i16:9","ok","empty|i32:4|empty|i32:9|i32:4|i32:9","false","oracle=ok/empty|i16:4|i16:9 golden=ok/empty|i32:4|empty|i32:9|i32:4|i32:9"
"array_store_load.bas","ok","empty|i16:7","ok","empty|i32:5|i32:7|empty|i32:7","false","oracle=ok/empty|i16:7 golden=ok/empty|i32:5|i32:7|empty|i32:7"
"array_zero_index.bas","ok","empty|i16:3","ok","empty|i32:3|empty|empty|i32:3","false","oracle=ok/empty|i16:3 golden=ok/empty|i32:3|empty|empty|i32:3"
"coercion_cverr_abs_normalization.bas","error","","ok","error:4|error:4|bool:true","false","oracle=error/ golden=ok/error:4|error:4|bool:true; VBA runtime error RTMERR:5"
"default_type_param_defobj_error.bas","error","","error","","true","0x800A9C68"
"enum_arithmetic_use.bas","ok","i32:6|i32:9","ok","i32:10|i32:1|i32:5|i32:6|i32:9","false","oracle=ok/i32:6|i32:9 golden=ok/i32:10|i32:1|i32:5|i32:6|i32:9"
"enum_basic.bas","ok","i32:5","ok","i32:3|i32:4|i32:5","false","oracle=ok/i32:5 golden=ok/i32:3|i32:4|i32:5"
"erase_array_basic.bas","ok","empty|empty","ok","empty|empty|empty|empty|empty","false","oracle=ok/empty|empty golden=ok/empty|empty|empty|empty|empty"
"err_surface_fields_subset.bas","ok","i32:9|string:""Subscript out of range""|string:""VBAProject""|i32:1000009|string:""C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\1033\VbLR6.chm""|i32:0","ok","i32:9|string:""""|string:""""|i32:0|string:""""|i32:0","false","oracle=ok/i32:9|string:""Subscript out of range""|string:""VBAProject""|i32:1000009|string:""C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\1033\VbLR6.chm""|i32:0 golden=ok/i32:9|string:""""|string:""""|i32:0|string:""""|i32:0"
"error_nested_mode_transitions.bas","ok","i32:5|i32:20|i32:0|i32:6","ok","i32:5|i32:20|i32:0|i32:6","true",""
"for_each_array_literal_basic.bas","ok","i16:3|empty","ok","i16:3|empty","true",""
"for_each_array_variable_basic.bas","ok","empty|i16:6|empty","ok","empty|i32:4|i32:5|i32:6|i32:6|i32:6","false","oracle=ok/empty|i16:6|empty golden=ok/empty|i32:4|i32:5|i32:6|i32:6|i32:6"
"for_exit_for_basic.bas","ok","i16:1|i16:1","ok","i16:1|i16:1","true",""
"function_return_explicit_as_precedence_error.bas","error","","error","","true","Cannot run the macro 'RunProbe'. The macro may not be available in this workbook or all macros may be disabled."
"module_const_basic.bas","ok","i16:7","ok","i32:5|i32:7","false","oracle=ok/i16:7 golden=ok/i32:5|i32:7"
"object_collection_add_item.bas","skip","","ok","i32:1|i32:1","","non-portable (OxVba synthetic builtins)"
"object_collection_count_chain.bas","skip","","ok","i32:2|i32:2","","non-portable (OxVba synthetic builtins)"
"object_collection_remove_count.bas","skip","","ok","i32:0","","non-portable (OxVba synthetic builtins)"
"property_set_byref_route.bas","error","","ok","i32:2","false","oracle=error/ golden=ok/i32:2; 0x800A9C68"
"redim_expand_allows_new_index.bas","ok","empty|i16:5","ok","empty|empty|empty|i32:5|empty|i32:5","false","oracle=ok/empty|i16:5 golden=ok/empty|empty|empty|i32:5|empty|i32:5"
"redim_preserve_keeps_values.bas","ok","empty|i16:7","ok","empty|i32:7|empty|i32:7|empty|empty","false","oracle=ok/empty|i16:7 golden=ok/empty|i32:7|empty|i32:7|empty|empty"
"redim_preserve_multidim_last_dimension.bas","ok","empty|i16:7","ok","empty|i32:7|empty|empty|empty|i32:7|empty|empty","false","oracle=ok/empty|i16:7 golden=ok/empty|i32:7|empty|empty|empty|i32:7|empty|empty"
"redim_preserve_shrink_expand_clears_tail.bas","ok","empty|empty","ok","empty|empty|empty|empty|empty|empty","false","oracle=ok/empty|empty golden=ok/empty|empty|empty|empty|empty|empty"
"redim_without_preserve_resets.bas","ok","empty|empty","ok","empty|empty|empty|empty|empty|empty","false","oracle=ok/empty|empty golden=ok/empty|empty|empty|empty|empty|empty"
"regression_cverr_error_resume_bridge.bas","ok","i32:11|i32:20|empty|empty|bool:false","ok","i32:11|i32:20|empty|empty|bool:false","true",""
"udt_field_access_basic.bas","error","","ok","empty|i32:7|i32:7|i32:7","false","oracle=error/ golden=ok/empty|i32:7|i32:7|i32:7; 0x800A9C68"
"udt_whole_assignment_copy.bas","error","","ok","empty|i32:7|i32:9|empty|i32:7|i32:9|i32:9","false","oracle=error/ golden=ok/empty|i32:7|i32:9|empty|i32:7|i32:9|i32:9; 0x800A9C68"
"udt_whole_assignment_overwrite.bas","error","","ok","empty|i32:7|i32:6|empty|i32:7|i32:6","false","oracle=error/ golden=ok/empty|i32:7|i32:6|empty|i32:7|i32:6; Cannot run the macro 'RunProbe'. The macro may not be available in this workbook or all macros may be disabled."
"with_block_basic.bas","error","","ok","i32:3|i32:3","false","oracle=error/ golden=ok/i32:3|i32:3; VBA runtime error RTMERR:424"
