"file","oracle_status","oracle_values","golden_status","golden_values","match","notes"
"call_coercion_mixed_variant_to_long.bas","ok","i16:5","ok","i32:5","false","oracle=ok/i16:5 golden=ok/i32:5"
"class_lifecycle_initialize_fail.bas","ok","i16:1","ok","i32:1","false","oracle=ok/i16:1 golden=ok/i32:1"
"class_lifecycle_resume_next_ok.bas","ok","i16:3","ok","i32:3","false","oracle=ok/i16:3 golden=ok/i32:3"
"class_lifecycle_terminate_fail.bas","ok","i16:1","ok","i32:1","false","oracle=ok/i16:1 golden=ok/i32:1"
"conditional_compilation_basic.bas","ok","i16:8","ok","i32:8","false","oracle=ok/i16:8 golden=ok/i32:8"
"consolidate_error_intrinsics_mix.bas","ok","i32:12|error:4|bool:true","ok","i32:12|error:4|i32:1","false","oracle=ok/i32:12|error:4|bool:true golden=ok/i32:12|error:4|i32:1"
"consolidate_select_conversion.bas","ok","i16:7|i16:20","ok","i32:7|i32:20","false","oracle=ok/i16:7|i16:20 golden=ok/i32:7|i32:20"
"conversion_cint_basic.bas","ok","i16:5","ok","i32:5","false","oracle=ok/i16:5 golden=ok/i32:5"
"conversion_clng_cint_chain.bas","ok","i16:7|i32:10|i16:8","ok","i32:7|i32:10|i32:8","false","oracle=ok/i16:7|i32:10|i16:8 golden=ok/i32:7|i32:10|i32:8"
"conversion_extended_scalar_subset.bas","ok","f64:7|u8:8|currency:9|decimal:10","ok","i32:7|i32:8|i32:9|i32:10","false","oracle=ok/f64:7|u8:8|currency:9|decimal:10 golden=ok/i32:7|i32:8|i32:9|i32:10"
"conversion_val_str_subset.bas","ok","f64:9","ok","i32:9","false","oracle=ok/f64:9 golden=ok/i32:9"
"declaration_collision_proc_name_error.bas","ok","i16:1","ok","i32:1","false","oracle=ok/i16:1 golden=ok/i32:1"
"enum_select_case_use.bas","ok","i16:20|i32:2","ok","i32:3|i32:2|i32:1|i32:20|i32:2","false","oracle=ok/i16:20|i32:2 golden=ok/i32:3|i32:2|i32:1|i32:20|i32:2"
"error_goto_label_resume_next.bas","ok","i16:20|i32:42","ok","i32:20|i32:42","false","oracle=ok/i16:20|i32:42 golden=ok/i32:20|i32:42"
"for_each_array_literal_basic.bas","ok","i16:3|empty","ok","i32:3|empty","false","oracle=ok/i16:3|empty golden=ok/i32:3|empty"
"for_exit_for_basic.bas","ok","i16:1|i16:1","ok","i32:1|i32:1","false","oracle=ok/i16:1|i16:1 golden=ok/i32:1|i32:1"
"for_zero_iter.bas","ok","i16:5|i16:5","ok","i32:5|i32:5","false","oracle=ok/i16:5|i16:5 golden=ok/i32:5|i32:5"
"goto_line_number_statement_basic.bas","ok","i16:5","ok","i32:5","false","oracle=ok/i16:5 golden=ok/i32:5"
"if_else_path.bas","ok","i16:20","ok","i32:20","false","oracle=ok/i16:20 golden=ok/i32:20"
"if_elseif_else_path.bas","ok","i16:99","ok","i32:99","false","oracle=ok/i16:99 golden=ok/i32:99"
"if_elseif_path.bas","ok","i16:30","ok","i32:30","false","oracle=ok/i16:30 golden=ok/i32:30"
"if_false.bas","ok","i16:0","ok","i32:0","false","oracle=ok/i16:0 golden=ok/i32:0"
