"file","oracle_status","oracle_values","golden_status","golden_values","match","notes"
"array_bounds_error.bas","error","","error","","true","VBA runtime error RTMERR:9"
"array_explicit_lower_bound.bas","ok","empty|i16:11","ok","empty|i16:11","true",""
"array_multidim_indexing.bas","ok","empty|i16:17","ok","empty|i16:17","true",""
"array_option_base_one_bounds.bas","ok","empty|i16:4|i16:9","ok","empty|i16:4|i16:9","true",""
"array_store_load.bas","ok","empty|i16:7","ok","empty|i16:7","true",""
"array_zero_index.bas","ok","empty|i16:3","ok","empty|i16:3","true",""
"assignment_set_let_basic.bas","error","","error","","true","0x800A9C68"
"byref_typed_mismatch_error.bas","error","","error","","true","0x800A9C68"
"call_coercion_mixed_variant_to_long.bas","ok","i16:5","ok","i16:5","true",""
"class_lifecycle_initialize_fail.bas","ok","i16:1","ok","i16:1","true",""
"class_lifecycle_resume_next_ok.bas","ok","i16:3","ok","i16:3","true",""
"class_lifecycle_terminate_fail.bas","ok","i16:1","ok","i16:1","true",""
"coercion_arg_object_to_long_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"coercion_assign_object_to_long_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"coercion_cverr_abs_normalization.bas","error","","error","","true","VBA runtime error RTMERR:5"
"coercion_cverr_range_predicates.bas","error","","error","","true","VBA runtime error RTMERR:5"
"coercion_null_empty_error_predicates.bas","ok","bool:true|bool:true|bool:true|bool:false|bool:false","ok","bool:true|bool:true|bool:true|bool:false|bool:false","true",""
"com_dispatch_array_argument.bas","skip","","","","","non-portable (OxVba synthetic builtins)"
"com_dispatch_createobject_invoke.bas","skip","","","","","non-portable (OxVba synthetic builtins)"
"com_dispatch_invoke_chain.bas","skip","","","","","non-portable (OxVba synthetic builtins)"
"com_dispatch_invoke_deterministic.bas","skip","","","","","non-portable (OxVba synthetic builtins)"
"conditional_compilation_basic.bas","ok","i16:8","ok","i16:8","true",""
"consolidate_collection_host_mix.bas","skip","","","","","non-portable (OxVba synthetic builtins)"
"consolidate_error_intrinsics_mix.bas","ok","i32:12|error:4|bool:true","ok","i32:12|error:4|bool:true","true",""
"consolidate_for_gosub_mix.bas","ok","i16:30|i16:5","ok","i32:30|i32:5","false","oracle=ok/i16:30|i16:5 golden=ok/i32:30|i32:5"
"consolidate_for_select_call.bas","ok","i16:32|i16:6","ok","i32:32|i32:6","false","oracle=ok/i16:32|i16:6 golden=ok/i32:32|i32:6"
"consolidate_gosub_error_mix.bas","ok","i16:10|i32:77","ok","i32:10|i32:77","false","oracle=ok/i16:10|i32:77 golden=ok/i32:10|i32:77"
"consolidate_language_stdlib_mix.bas","skip","","","","","non-portable (OxVba synthetic builtins)"
"consolidate_nested_call_chain.bas","ok","i16:10","ok","i32:10","false","oracle=ok/i16:10 golden=ok/i32:10"
"consolidate_select_conversion.bas","ok","i16:7|i16:20","ok","i16:7|i16:20","true",""
"consolidate_while_byref_mix.bas","ok","i16:128|i16:7","ok","i32:128|i32:7","false","oracle=ok/i16:128|i16:7 golden=ok/i32:128|i32:7"
"conversion_cint_basic.bas","ok","i16:5","ok","i16:5","true",""
"conversion_cint_to_object_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"conversion_clng_cint_chain.bas","ok","i16:7|i32:10|i16:8","ok","i16:7|i32:10|i16:8","true",""
"conversion_extended_scalar_subset.bas","ok","f64:7|u8:8|currency:9|decimal:10","ok","f64:7|u8:8|currency:9|decimal:10","true",""
"conversion_nested_clng_cint.bas","ok","i32:7","ok","i32:7","true",""
"conversion_val_str_subset.bas","ok","f64:9","ok","f64:9","true",""
"declaration_collision_proc_name_error.bas","ok","i16:1","ok","i16:1","true",""
"declare_function_stub_basic.bas","skip","","error","","","non-portable (OxVba synthetic builtins)"
"declare_sub_stub_basic.bas","skip","","error","","","non-portable (OxVba synthetic builtins)"
"default_type_defobj_implicit_error.bas","error","","error","","true","VBA runtime error RTMERR:91"
"default_type_param_defobj_error.bas","error","","error","","true","0x800A9C68"
