"production","category","fixture_anchor","parser_status","binder_status","execution_status","residual_disposition","cst_parser_route","production_binder_route","production_lowering_route","legacy_route_status","route_evidence","notes"
"source_file","top-level","conformance/tests/smoke.bas","anchored_existing","not_applicable_or_later","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","not_applicable_or_later","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","single-file source entrypoint"
"file_preamble","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"module_body","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"module_item","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"option_line","top-level","conformance/tests/option_explicit_ok.bas; conformance/tests/string_compare_option_text.bas","anchored_existing","not_applicable_or_later","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","not_applicable_or_later","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","option-state semantic rows exist"
"option_kind","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"option_value","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"attribute_line","top-level","crates/oxvba-host/tests/vba_attribute_oracle_lane.rs","anchored_existing","not_applicable_or_later","partial_or_host_specific","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","not_applicable_or_later","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","exported attribute handling needs more syntax fixture rows"
"statement_line","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"logical_line","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"statement_list","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"line_comment","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"line_prefix","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"blank_line","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"comment_line","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"trivia","top-level","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"declaration","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"const_decl","declaration","conformance/tests/module_const_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","module constant coverage anchor"
