feature_area,construct,status,phase_scope,evidence,notes
syntax,Option Explicit,implemented,v11,conformance/tests/option_explicit_ok.bas,
syntax,Line continuation,implemented,v59,conformance/tests/line_continuation_basic.bas,
syntax,Conditional compilation,implemented,v61,conformance/tests/conditional_compilation_basic.bas,
syntax,Option Compare,implemented,v78,conformance/tests/string_compare_option_text.bas,
syntax,Option Base,implemented,v81,conformance/tests/array_option_base_one_bounds.bas,
syntax,With block member access subset,implemented,v107,conformance/tests/with_block_member_target_chain.bas,nested and direct member-chain With targets normalized to flattened aliases
control_flow,If Then End If,implemented,v2,conformance/tests/if_true.bas,
control_flow,ElseIf chain,implemented,v5,conformance/tests/if_elseif_path.bas,
control_flow,Else branch,implemented,v5,conformance/tests/if_else_path.bas,
control_flow,For Next,implemented,v2,conformance/tests/for_basic.bas,Oracle 20260321T094401Z: for_basic match
control_flow,For Step clause,implemented,v87,conformance/tests/for_step_positive.bas,Oracle 20260321T094401Z: for_step_positive/for_step_negative/for_step_zero_error/for_zero_iter match
control_flow,For Each Next,implemented,v100,conformance/tests/for_each_array_literal_basic.bas,array literal and declared-array iteration subset; Oracle 20260321T094401Z: Cat A harness artifact (terminal values correct)
control_flow,Do While Loop,implemented,v6,conformance/tests/do_while_basic.bas,
control_flow,Do Loop While,implemented,v6,conformance/tests/do_loop_while_basic.bas,
control_flow,Do Until Loop,implemented,v89,conformance/tests/do_until_basic.bas,
control_flow,Do Loop Until,implemented,v89,conformance/tests/do_loop_until_basic.bas,
control_flow,While Wend,implemented,v90,conformance/tests/while_wend_basic.bas,
control_flow,Exit Do,implemented,v6,conformance/tests/do_exit_do.bas,Oracle 20260321T094401Z: do_exit_do match
control_flow,Exit For,implemented,v88,conformance/tests/for_exit_for_basic.bas,Oracle 20260321T094401Z: for_exit_for_basic match
control_flow,Select Case,implemented,v7,conformance/tests/select_case_basic.bas,Oracle 20260321T094401Z: select_case_basic/select_case_else/select_case_multi match
control_flow,Select Case range and Is clauses,implemented,v91,conformance/tests/select_case_is_range.bas,Oracle 20260321T094401Z: select_case_is_range match
control_flow,GoSub Return,implemented,v40,conformance/tests/gosub_basic.bas,Oracle 20260321T094401Z: gosub_basic/gosub_repeated match
control_flow,GoTo label statement,implemented,v93,conformance/tests/goto_label_basic.bas,Oracle 20260321T094401Z: goto_label_basic match
control_flow,Line-number labels and numeric GoTo,implemented,v94,conformance/tests/goto_line_number_statement_basic.bas,explicit colon form and statement-prefix line-number labels are executable; Oracle 20260321T094401Z: goto_line_number_statement_basic/goto_numeric_basic/duplicate_label_error match
procedures,Sub call chain,implemented,v8,conformance/tests/proc_call_chain.bas,
procedures,Function invocation,implemented,v8,conformance/tests/function_call_basic.bas,
procedures,ByVal params,implemented,v9,conformance/tests/params_byval.bas,
procedures,ByRef params,implemented,v9,conformance/tests/params_byref.bas,
procedures,Optional params,implemented,v37,conformance/tests/params_optional_default.bas,Oracle 20260321T094401Z: params_optional_default/params_optional_override match
procedures,Named args,implemented,v38,conformance/tests/params_named_bind.bas,Oracle 20260321T094401Z: params_named_bind/params_named_optional_omit/params_named_positional_after_named_error match
procedures,ParamArray subset,implemented,v83,conformance/tests/params_paramarray_pack.bas,Oracle 20260321T094401Z: params_paramarray_pack/params_paramarray_empty/params_paramarray_named_error match
procedures,Property procedures (Get/Let/Set subset),implemented,v44,conformance/tests/property_let_byref_route.bas,
procedures,Property Get expression semantics,implemented,v101,conformance/tests/property_get_expression_basic.bas,property-get read route to callable return-value subset
procedures,Declare and external procedure binding,implemented,v104,conformance/tests/declare_function_stub_basic.bas,declare binding to deterministic executable stub subset
