requirement_id,area,requirement,status,current_evidence,foundation_source,defer_class,notes
MODPROJ-001,project-model,Every module in a project has a distinct module name,planned,,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0041,none,Needs project symbol table and duplicate-name diagnostics across modules.
MODPROJ-002,module-kinds,Represent and validate module categories (procedural/class/document/form),planned,,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0040,forms-deferred,Current parser/host path is single-source text and does not persist module-kind metadata.
MODPROJ-003,project-compilation,Compile a project as a set of modules instead of one concatenated source text,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,none,Requires project manifest input model and deterministic module ordering rules.
MODPROJ-004,name-resolution,Resolve project-qualified and module-qualified identifiers with VBA precedence rules,planned,,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0053,none,Current resolver is effectively single-module scope.
MODPROJ-005,visibility,Enforce Public/Private/Friend and Option Private Module visibility across modules,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,none,Needs project-level symbol export tables and access checks.
MODPROJ-006,module-attributes,Parse and retain module attributes (Attribute VB_Name, VB_PredeclaredId, VB_GlobalNameSpace, VB_Creatable, VB_Exposed),planned,,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0042,none,Attribute surface is needed for accurate class/document/form behavior.
MODPROJ-007,class-instancing,Honor class module instancing and predeclared-id rules for default instances,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,none,Current class lifecycle tests do not model full project-level class instancing.
MODPROJ-008,class-lifecycle,Class_Initialize and Class_Terminate execution route,implemented,conformance/tests/class_lifecycle_resume_next_ok.bas,docs/evidence/language/COVERAGE_INDEX.csv,none,Implemented in deterministic subset without full project module packaging.
MODPROJ-009,module-const-enum,Module-level Const and Enum declarations,implemented,conformance/tests/module_const_basic.bas;conformance/tests/enum_basic.bas,docs/evidence/language/COVERAGE_INDEX.csv,none,Implemented within current source-unit model.
MODPROJ-010,module-collision-rules,Detect declaration collisions in module declaration space,implemented,conformance/tests/declaration_collision_proc_name_error.bas,docs/evidence/language/COVERAGE_INDEX.csv,none,Current coverage is module-local only.
MODPROJ-011,withevents-rules,Enforce WithEvents legality differences by module kind,planned,,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0056,none,No module-kind-aware WithEvents checker yet.
MODPROJ-012,implements,Support Implements clause and interface contract checking in class modules,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,none,Not yet represented in syntax/binder/runtime.
MODPROJ-013,document-modules,Bind document module code-behind identity to host-provided objects,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,hal-adjacent,Depends on HAL host-binding contracts.
MODPROJ-014,form-modules,Form module lifecycle and userform integration,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,forms-deferred,Explicitly deferred for a later Forms phase.
MODPROJ-015,entrypoint-resolution,Project startup and entry-point selection semantics beyond single Sub Main conventions,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,none,Current CLI/host assumes single text source with Main-style entry.
MODPROJ-016,project-references,Project-level external reference and type-library binding model,partial,docs/evidence/language/COVERAGE_INDEX.csv (interop rows),../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/windows_protocols/ms-oaut/bbb05720-f724-45c7-8d17-f83c3d1a3961.md,hal-adjacent,Deterministic dispatch subset exists; full reference graph/import pipeline not implemented.
MODPROJ-017,conditional-compilation,Project-level conditional compilation constants and module-consistent directive environment,partial,conformance/tests/conditional_compilation_basic.bas,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/microsoft_general_purpose_programming_languages/ms-vbal/d5418146-0bd2-45eb-9c7a-fd9502722c74.md,none,Current support is local directive subset without project-wide constant source model.
MODPROJ-018,storage-roundtrip,MS-OVBA project/module storage ingest and emit pipeline,planned,,../Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/office_file_formats/ms-ovba/b39ac32f-0ce1-4533-9297-2ff3ff62c9ec.md,none,Needed for full project/package fidelity.
