fixture,vm3_median_ms,jit_median_ms,vm3_over_jit_ratio,jit_status,unsupported_reason,execution_cost_model,source_to_oxir_median_us,jit_image_compile_median_us
scalar_loop,12.993,3.1464,4.13,supported,,execution_only_precompiled_oxir,141.83,3158.6
string_concat,4.7311,3.2069,1.48,supported,,execution_only_precompiled_oxir,193.91,4383.9
array_loop,1.2632,0.35339,3.57,supported,,execution_only_precompiled_oxir,253.02,4724.7
array_redim,26.088,12.813,2.04,supported,,execution_only_precompiled_oxir,124.33,2225.5
array_set_long,4.7107,1.3282,3.55,supported,,execution_only_precompiled_oxir,131.84,2415.8
array_get_long,9.7443,2.5001,3.90,supported,,execution_only_precompiled_oxir,150.54,3101.8
array_for_each_variant,0.010511,0.0062541,1.68,supported,,execution_only_precompiled_oxir,121.62,1634.0
udt_fields,10.134,4.6596,2.17,supported,,execution_only_precompiled_oxir,235.65,3660.5
call_overhead,13.465,5.0149,2.68,supported,,execution_only_precompiled_oxir,247.69,3747.7
error_loop,10.306,2.7376,3.76,supported,,execution_only_precompiled_oxir,184.38,3790.9
variant_box_unbox,17.102,4.9004,3.49,supported,,execution_only_precompiled_oxir,176.39,3228.1
project_object_calls,11.641,6.3347,1.84,supported,,execution_only_precompiled_oxir,254.86,3902.8
dynamic_dispatch_helpers,9.1825,5.4762,1.68,supported,,execution_only_precompiled_oxir,275.51,3896.8
collection_ops,5.9681,3.0986,1.93,supported,,execution_only_precompiled_oxir,171.36,3479.3
com_late_vs_early,10.882,4.7390,2.30,supported,fixture-backed OxVba.TestDispatch only,execution_only_precompiled_oxir,286.68,5391.7
bundle_only_referenced_class_aggregates,9.4993,7.0992,1.34,supported,compiled CoreProgram surface subset only,execution_only_precompiled_oxir,719.24,6174.4
