lane,path,status,programs,checked_arith,widening_arith,compare,failed,checked_targets
bas,conformance/com/client/c2-latebound/createobject_string_prog_id_scaffold.bas,ok,1,0,0,0,0,
bas,conformance/com/client/c2-latebound/createobject_string_prog_id_success.bas,ok,1,0,0,0,0,
bas,conformance/com/client/c2-latebound/dispatch_member_name_failure_resume_next.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/client/c2-latebound/dispatch_member_name_scaffold.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/client/c2-latebound/dispatch_member_name_success.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/client/c2-latebound/dispatch_member_name_two_arg_property_get.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/early/binder/early_bind_member_exists_success.bas,bind: unsupported construct: New oxvba.testdispatch (only project classes are creatable),0,0,0,0,1,
bas,conformance/com/early/binder/early_bind_member_unknown_error.bas,bind: unsupported construct: New oxvba.testdispatch (only project classes are creatable),0,0,0,0,1,
bas,conformance/com/early/end_to_end/early_late_mix_project.bas,bind: unsupported construct: New oxvba.testdispatch (only project classes are creatable),0,0,0,0,1,
bas,conformance/com/early/runtime/early_bind_runtime_missing_arg_resume_next.bas,bind: unsupported construct: New oxvba.testdispatch (only project classes are creatable),0,0,0,0,1,
bas,conformance/com/early/runtime/early_bind_runtime_success.bas,bind: unsupported construct: New oxvba.testdispatch (only project classes are creatable),0,0,0,0,1,
bas,conformance/com/early/typelib_ingest/typelib_ingest_known_identity.bas,bind: unsupported construct: New oxvba.testdispatch (only project classes are creatable),0,0,0,0,1,
bas,conformance/com/office/access_jet/access_application_activation_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/access_jet/access_database_query_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/access_jet/access_jet_provider_boundary.bas,ok,1,0,0,0,0,
bas,conformance/com/office/access_jet/dao_dbengine_create_query_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/access_jet/jet_adodb_provider_activation_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/excel/excel_application_activation_smoke.bas,ok,1,0,0,0,0,
bas,conformance/com/office/excel/excel_dispatchinvoke_range_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/excel/excel_find_null_result_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/excel/excel_named_argument_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/excel/excel_range_default_member_put_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/excel/excel_range_value_put_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/com/office/excel/excel_unsupported_event_sink_boundary.bas,ok,1,0,0,0,0,
bas,conformance/com/office/excel/excel_workbook_range_smoke.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/divergences/for_loop.bas,ok,1,0,2,3,0,
bas,conformance/divergences/if_statement.bas,ok,1,0,0,1,0,
bas,conformance/integration/projects/INTP-001/main/Main.proc.bas,ok,1,1,0,0,0,Long:1
bas,conformance/integration/projects/INTP-002/main/Main.proc.bas,bind: Variable not defined,0,0,0,0,1,
bas,conformance/integration/projects/INTP-002/main/MathLib.proc.bas,ok,1,1,0,0,0,Long:1
bas,conformance/integration/projects/INTP-003/main/Main.proc.bas,bind: Variable not defined,0,0,0,0,1,
bas,conformance/integration/projects/INTP-003/references/LibMath/MathApi.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-004/main/Main.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-004/references/LibShadow/Ping.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-005/main/Main.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-006/main/Main.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-007/main/Main.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-008/main/Main.proc.bas,bind: symbol model error: Implements is only valid in object modules: `IFoo`,0,0,0,0,1,
bas,conformance/integration/projects/INTP-009/main/Main.proc.bas,bind: malformed construct: RaiseEvent outside a class module,0,0,0,0,1,
bas,conformance/integration/projects/INTP-010/main/Main.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-011/main/ArrayTools.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-011/main/Main.proc.bas,bind: Variable not defined,0,0,0,0,1,
bas,conformance/integration/projects/INTP-011/main/MathTools.proc.bas,ok,1,2,0,3,0,Long:2
bas,conformance/integration/projects/INTP-011/references/LibMath/Boost.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-016/main/Adder.class.bas,ok,1,1,0,0,0,Long:1
bas,conformance/integration/projects/INTP-016/main/Counter.class.bas,ok,1,1,0,0,0,Long:1
bas,conformance/integration/projects/INTP-016/main/Main.proc.bas,bind: unsupported construct: New counter (only project classes are creatable),0,0,0,0,1,
bas,conformance/integration/projects/INTP-017/main/Main.proc.bas,bind: Variable not defined,0,0,0,0,1,
bas,conformance/integration/projects/INTP-017/main/Utils.proc.bas,ok,1,1,0,1,0,Long:1
bas,conformance/integration/projects/INTP-019/main/Main.proc.bas,bind: Variable not defined,0,0,0,0,1,
bas,conformance/integration/projects/INTP-019/references/LibA/Util.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-019/references/LibB/Util.proc.bas,ok,1,0,0,0,0,
bas,conformance/integration/projects/INTP-019/references/LibC/Calc.proc.bas,ok,1,1,0,0,0,Long:1
bas,conformance/jit_v2/numeric_micro/nm01_integer_add_overflow.bas,ok,1,1,0,0,0,Integer:1
bas,conformance/jit_v2/numeric_micro/nm02_integer_sub_overflow.bas,ok,1,2,0,0,0,Integer:1|Long:1
bas,conformance/jit_v2/numeric_micro/nm03_long_add_overflow.bas,ok,1,1,0,0,0,Long:1
bas,conformance/jit_v2/numeric_micro/nm04_long_sub_overflow.bas,ok,1,1,1,0,0,Long:1
bas,conformance/jit_v2/numeric_micro/nm05_currency_add_overflow.bas,ok,1,0,1,0,0,
bas,conformance/jit_v2/numeric_micro/nm06_currency_multiply_overflow.bas,ok,1,0,2,0,0,
bas,conformance/jit_v2/numeric_micro/nm07_clng_bankers_half_even.bas,ok,1,0,2,0,0,
bas,conformance/jit_v2/numeric_micro/nm08_clng_upper_half_overflow.bas,ok,1,0,0,0,0,
bas,conformance/jit_v2/numeric_micro/nm09_cint_half_boundary.bas,ok,1,0,0,0,0,
bas,conformance/jit_v2/numeric_micro/nm10_int_fix_conversion_rounding.bas,ok,1,0,3,0,0,
bas,conformance/jit_v2/numeric_micro/nm11_negative_zero_snapshot.bas,ok,1,0,1,0,0,
bas,conformance/jit_v2/numeric_micro/nm12_single_double_roundtrip.bas,ok,1,0,0,1,0,
bas,conformance/jit_v2/numeric_micro/nm13_double_overflow_inf_compare.bas,ok,1,0,1,2,0,
bas,conformance/jit_v2/numeric_micro/nm14_nan_candidate_power_compare.bas,ok,1,0,1,2,0,
bas,conformance/jit_v2/numeric_micro/nm15_intdiv_long_min_minus_one.bas,ok,1,2,1,0,0,Integer:1|Long:1
bas,conformance/jit_v2/numeric_micro/nm16_mod_long_min_minus_one.bas,ok,1,2,1,0,0,Integer:1|Long:1
bas,conformance/jit_v2/numeric_micro/nm17_longlong_add_overflow.bas,ok,1,1,0,0,0,LongLong:1
bas,conformance/jit_v2/numeric_micro/nm18_variant_integer_widening.bas,ok,1,0,1,0,0,
