"backend","file","status","slots"
"jit","array_bounds_error.bas","error",""
"jit","array_explicit_lower_bound.bas","ok","0,11,0,11"
"jit","array_multidim_indexing.bas","ok","0,0,0,0,0,17,17"
"jit","array_option_base_one_bounds.bas","ok","4,0,9,4,9"
"jit","array_store_load.bas","ok","5,7,0,7"
"jit","array_zero_index.bas","ok","3,0,0,3"
"jit","assignment_set_let_basic.bas","ok","7"
"jit","byref_typed_mismatch_error.bas","error",""
"jit","call_coercion_mixed_variant_to_long.bas","ok","5"
"jit","class_lifecycle_initialize_fail.bas","error",""
"jit","class_lifecycle_resume_next_ok.bas","ok","3"
"jit","class_lifecycle_terminate_fail.bas","error",""
"jit","coercion_arg_object_to_long_error.bas","error",""
"jit","coercion_assign_object_to_long_error.bas","error",""
"jit","com_dispatch_array_argument.bas","ok","25013"
"jit","com_dispatch_createobject_invoke.bas","ok","5016"
"jit","com_dispatch_invoke_chain.bas","ok","5009,5014"
"jit","com_dispatch_invoke_deterministic.bas","ok","5018"
"jit","conditional_compilation_basic.bas","ok","8"
"jit","consolidate_collection_host_mix.bas","ok","1,1,1"
"jit","consolidate_error_intrinsics_mix.bas","ok","12,4,1"
"jit","consolidate_language_stdlib_mix.bas","ok","3,5008"
"jit","conversion_cint_basic.bas","ok","5"
"jit","conversion_cint_to_object_error.bas","error",""
"jit","conversion_extended_scalar_subset.bas","ok","7,8,9,10"
"jit","conversion_nested_clng_cint.bas","ok","7"
"jit","conversion_val_str_subset.bas","ok","9"
"jit","declaration_collision_proc_name_error.bas","error",""
"jit","declare_function_stub_basic.bas","ok","0"
"jit","declare_sub_stub_basic.bas","ok","5"
"jit","default_type_defobj_implicit_error.bas","error",""
"jit","default_type_param_defobj_error.bas","error",""
"jit","do_exit_do.bas","ok","4"
"jit","do_loop_until_basic.bas","ok","3"
"jit","do_loop_while_basic.bas","ok","3"
"jit","do_until_basic.bas","ok","3"
"jit","do_while_basic.bas","ok","3"
"jit","duplicate_dim_error.bas","error",""
"jit","duplicate_label_error.bas","error",""
"jit","enum_basic.bas","ok","3,4,5"
"jit","erase_array_basic.bas","ok","0,0,0,0,0"
"jit","err_clear_basic.bas","ok","0"
"jit","err_proc_call_boundary_clears.bas","ok","0"
"jit","err_resume_next_clears.bas","ok","0"
"jit","err_surface_fields_subset.bas","ok","9,9,0,0,0,0"
"jit","for_basic.bas","ok","6,4"
"jit","for_each_array_literal_basic.bas","ok","3,3"
"jit","for_each_array_variable_basic.bas","ok","4,5,6,6,6"
"jit","for_exit_for_basic.bas","ok","1,1"
"jit","for_step_negative.bas","ok","3,-1"
"jit","for_step_positive.bas","ok","6,7"
"jit","for_step_zero_error.bas","error",""
"jit","for_zero_iter.bas","ok","5,5"
"jit","function_call_basic.bas","ok","9"
"jit","function_return_explicit_as_precedence_error.bas","error",""
"jit","gosub_basic.bas","ok","4"
"jit","gosub_missing_label_error.bas","error",""
"jit","gosub_repeated.bas","ok","5"
"jit","goto_label_basic.bas","ok","3"
"jit","goto_line_number_statement_basic.bas","ok","5"
"jit","goto_missing_label_error.bas","error",""
"jit","goto_numeric_basic.bas","ok","5"
"jit","if_and.bas","ok","7"
"jit","if_else_path.bas","ok","20"
"jit","if_elseif_else_path.bas","ok","99"
"jit","if_elseif_path.bas","ok","30"
"jit","if_false.bas","ok","0"
"jit","if_ge.bas","ok","5"
"jit","if_lt.bas","ok","4"
"jit","if_neq.bas","ok","11"
"jit","if_or_not.bas","ok","9"
"jit","if_true.bas","ok","7"
"jit","jit_intrinsic_math_subset.bas","ok","1"
"jit","late_bound_default_member_error.bas","error",""
"jit","late_bound_default_member_exec.bas","ok","0,7"
"jit","late_bound_named_argument_exec.bas","ok","0,1"
"jit","late_call_named_argument_error.bas","error",""
"jit","line_continuation_basic.bas","ok","3"
"jit","module_const_basic.bas","ok","5,7"
"jit","nested_if_for.bas","ok","5,3"
"jit","object_collection_add_item.bas","ok","1,1"
"jit","object_collection_count_chain.bas","ok","2,2"
"jit","object_collection_remove_count.bas","ok","0"
"jit","on_error_default_fail.bas","error",""
"jit","on_error_goto_label_missing_label_error.bas","error",""
"jit","on_error_goto_label_resume.bas","ok","6"
"jit","on_error_goto_label_then_goto_zero_error.bas","error",""
"jit","on_error_goto_zero_fail.bas","error",""
"jit","on_error_resume_continue.bas","ok","2"
"jit","on_error_resume_next.bas","ok","5"
"jit","operator_arithmetic_object_plus_error.bas","error",""
"jit","operator_comparison_object_long_error.bas","error",""
"jit","option_explicit_error.bas","error",""
"jit","option_explicit_ok.bas","ok","3"
"jit","params_byref_error.bas","error",""
"jit","params_byref.bas","ok","2"
"jit","params_byval.bas","ok","1"
"jit","params_named_bind.bas","ok","9"
"jit","params_named_optional_omit.bas","ok","7"
"jit","params_named_positional_after_named_error.bas","error",""
"jit","params_optional_default.bas","ok","7"
"jit","params_optional_override.bas","ok","9"
"jit","params_paramarray_dispatch_boundary.bas","ok","25008"
"jit","params_paramarray_empty.bas","ok","-1"
"jit","params_paramarray_named_error.bas","error",""
"jit","params_paramarray_pack.bas","ok","2"
"jit","proc_call_chain.bas","ok","1"
"jit","proc_call_local_scope.bas","ok","2"
"jit","property_get_declaration_basic.bas","ok","4"
"jit","property_get_expression_basic.bas","ok","0"
"jit","property_let_byref_route.bas","ok","3"
"jit","property_set_byref_route.bas","ok","7"
"jit","redim_expand_allows_new_index.bas","ok","0,0,5,0,5"
"jit","redim_preserve_illegal_non_last_dim_error.bas","error",""
"jit","redim_preserve_keeps_values.bas","ok","7,0,7,0,0"
"jit","redim_preserve_multidim_last_dimension.bas","ok","7,0,0,0,7,0,0"
"jit","redim_preserve_shrink_expand_clears_tail.bas","ok","0,0,0,0,0"
"jit","redim_shrink_bounds_error.bas","error",""
"jit","redim_without_preserve_resets.bas","ok","0,0,0,0,0"
"jit","resume_label_basic.bas","ok","6"
"jit","resume_next_statement_ok.bas","ok","1"
"jit","resume_statement_basic.bas","ok","2"
"jit","select_case_basic.bas","ok","20"
"jit","select_case_else.bas","ok","99"
"jit","select_case_is_range.bas","ok","22"
"jit","select_case_multi.bas","ok","30"
"jit","smoke.bas","ok","15"
"jit","stdlib_advanced_instrrev_like.bas","ok","4,1"
"jit","stdlib_advanced_replace_trim.bas","ok","16745,456,321"
"jit","stdlib_advanced_split_join.bas","ok","3,789"
"jit","stdlib_advanced_strcomp.bas","ok","-1,0"
"jit","stdlib_array_introspection_bounds.bas","ok","-999999997,0,2"
"jit","stdlib_array_introspection_types.bas","ok","-999999998,8204,1001"
"jit","stdlib_date_add_diff.bas","ok","20260231,3"
"jit","stdlib_date_serial_value.bas","ok","20260228,20260228"
"jit","stdlib_datetime_expansion.bas","ok","20260228,0,20260228,20240203,20240203,20240203,20240203,2,0"
"jit","stdlib_error_cverr_identity.bas","ok","17"
"jit","stdlib_error_err_raise_fail.bas","error",""
"jit","stdlib_error_err_raise_resume.bas","ok","11"
"jit","stdlib_file_stub_intrinsics.bas","ok","1,3,4,5"
"jit","stdlib_financial_zero_rate.bas","ok","-11,-11,-3"
"jit","stdlib_format_core.bas","ok","12345,678"
"jit","stdlib_host_sensitive_mix.bas","ok","1,4"
"jit","stdlib_host_sensitive_shell_environ_dir.bas","ok","1,9,1"
"jit","stdlib_host_sensitive_zero_fallback.bas","ok","0,0"
"jit","stdlib_instr_case_ops.bas","ok","3,789,654"
"jit","stdlib_introspection_expansion.bas","ok","1,1,1,1"
"jit","stdlib_len_basic.bas","ok","4"
"jit","stdlib_math_primitives.bas","ok","7,-1,9,20"
"jit","stdlib_math_transcendental_identity.bas","ok","0,1,0,1"
