"backend","file","status","slots"
"vm","array_bounds_error.bas","error",""
"vm","array_explicit_lower_bound.bas","ok","0,11,0,11"
"vm","array_multidim_indexing.bas","ok","0,0,0,0,0,17,17"
"vm","array_option_base_one_bounds.bas","ok","4,0,9,4,9"
"vm","array_store_load.bas","ok","5,7,0,7"
"vm","array_zero_index.bas","ok","3,0,0,3"
"vm","assignment_set_let_basic.bas","ok","7"
"vm","byref_typed_mismatch_error.bas","error",""
"vm","call_coercion_mixed_variant_to_long.bas","ok","5"
"vm","class_lifecycle_initialize_fail.bas","error",""
"vm","class_lifecycle_resume_next_ok.bas","ok","3"
"vm","class_lifecycle_terminate_fail.bas","error",""
"vm","coercion_arg_object_to_long_error.bas","error",""
"vm","coercion_assign_object_to_long_error.bas","error",""
"vm","com_dispatch_array_argument.bas","ok","25013"
"vm","com_dispatch_createobject_invoke.bas","ok","5016"
"vm","com_dispatch_invoke_chain.bas","ok","5009,5014"
"vm","com_dispatch_invoke_deterministic.bas","ok","5018"
"vm","conditional_compilation_basic.bas","ok","8"
"vm","consolidate_collection_host_mix.bas","ok","1,1,1"
"vm","consolidate_error_intrinsics_mix.bas","ok","12,4,1"
"vm","consolidate_language_stdlib_mix.bas","ok","3,5008"
"vm","conversion_cint_basic.bas","ok","5"
"vm","conversion_cint_to_object_error.bas","error",""
"vm","conversion_extended_scalar_subset.bas","ok","7,8,9,10"
"vm","conversion_nested_clng_cint.bas","ok","7"
"vm","conversion_val_str_subset.bas","ok","9"
"vm","declaration_collision_proc_name_error.bas","error",""
"vm","declare_function_stub_basic.bas","ok","0"
"vm","declare_sub_stub_basic.bas","ok","5"
"vm","default_type_defobj_implicit_error.bas","error",""
"vm","default_type_param_defobj_error.bas","error",""
"vm","do_exit_do.bas","ok","4"
"vm","do_loop_until_basic.bas","ok","3"
"vm","do_loop_while_basic.bas","ok","3"
"vm","do_until_basic.bas","ok","3"
"vm","do_while_basic.bas","ok","3"
"vm","duplicate_dim_error.bas","error",""
"vm","duplicate_label_error.bas","error",""
"vm","enum_basic.bas","ok","3,4,5"
"vm","erase_array_basic.bas","ok","0,0,0,0,0"
"vm","err_clear_basic.bas","ok","0"
"vm","err_proc_call_boundary_clears.bas","ok","0"
"vm","err_resume_next_clears.bas","ok","0"
"vm","err_surface_fields_subset.bas","ok","9,9,0,0,0,0"
"vm","for_basic.bas","ok","6,4"
"vm","for_each_array_literal_basic.bas","ok","3,3"
"vm","for_each_array_variable_basic.bas","ok","4,5,6,6,6"
"vm","for_exit_for_basic.bas","ok","1,1"
"vm","for_step_negative.bas","ok","3,-1"
"vm","for_step_positive.bas","ok","6,7"
"vm","for_step_zero_error.bas","error",""
"vm","for_zero_iter.bas","ok","5,5"
"vm","function_call_basic.bas","ok","9"
"vm","function_return_explicit_as_precedence_error.bas","error",""
"vm","gosub_basic.bas","ok","4"
"vm","gosub_missing_label_error.bas","error",""
"vm","gosub_repeated.bas","ok","5"
"vm","goto_label_basic.bas","ok","3"
"vm","goto_line_number_statement_basic.bas","ok","5"
"vm","goto_missing_label_error.bas","error",""
"vm","goto_numeric_basic.bas","ok","5"
"vm","if_and.bas","ok","7"
"vm","if_else_path.bas","ok","20"
"vm","if_elseif_else_path.bas","ok","99"
"vm","if_elseif_path.bas","ok","30"
"vm","if_false.bas","ok","0"
"vm","if_ge.bas","ok","5"
"vm","if_lt.bas","ok","4"
"vm","if_neq.bas","ok","11"
"vm","if_or_not.bas","ok","9"
"vm","if_true.bas","ok","7"
"vm","jit_intrinsic_math_subset.bas","ok","1"
"vm","late_bound_default_member_error.bas","error",""
"vm","late_bound_default_member_exec.bas","ok","0,7"
"vm","late_bound_named_argument_exec.bas","ok","0,1"
"vm","late_call_named_argument_error.bas","error",""
"vm","line_continuation_basic.bas","ok","3"
"vm","module_const_basic.bas","ok","5,7"
"vm","nested_if_for.bas","ok","5,3"
"vm","object_collection_add_item.bas","ok","1,1"
"vm","object_collection_count_chain.bas","ok","2,2"
"vm","object_collection_remove_count.bas","ok","0"
"vm","on_error_default_fail.bas","error",""
"vm","on_error_goto_label_missing_label_error.bas","error",""
"vm","on_error_goto_label_resume.bas","ok","6"
"vm","on_error_goto_label_then_goto_zero_error.bas","error",""
"vm","on_error_goto_zero_fail.bas","error",""
"vm","on_error_resume_continue.bas","ok","2"
"vm","on_error_resume_next.bas","ok","5"
"vm","operator_arithmetic_object_plus_error.bas","error",""
"vm","operator_comparison_object_long_error.bas","error",""
"vm","option_explicit_error.bas","error",""
"vm","option_explicit_ok.bas","ok","3"
"vm","params_byref_error.bas","error",""
"vm","params_byref.bas","ok","2"
"vm","params_byval.bas","ok","1"
"vm","params_named_bind.bas","ok","9"
"vm","params_named_optional_omit.bas","ok","7"
"vm","params_named_positional_after_named_error.bas","error",""
"vm","params_optional_default.bas","ok","7"
"vm","params_optional_override.bas","ok","9"
"vm","params_paramarray_dispatch_boundary.bas","ok","25008"
"vm","params_paramarray_empty.bas","ok","-1"
"vm","params_paramarray_named_error.bas","error",""
"vm","params_paramarray_pack.bas","ok","2"
"vm","proc_call_chain.bas","ok","1"
"vm","proc_call_local_scope.bas","ok","2"
"vm","property_get_declaration_basic.bas","ok","4"
"vm","property_get_expression_basic.bas","ok","0"
"vm","property_let_byref_route.bas","ok","3"
"vm","property_set_byref_route.bas","ok","7"
"vm","redim_expand_allows_new_index.bas","ok","0,0,5,0,5"
"vm","redim_preserve_illegal_non_last_dim_error.bas","error",""
"vm","redim_preserve_keeps_values.bas","ok","7,0,7,0,0"
"vm","redim_preserve_multidim_last_dimension.bas","ok","7,0,0,0,7,0,0"
"vm","redim_preserve_shrink_expand_clears_tail.bas","ok","0,0,0,0,0"
"vm","redim_shrink_bounds_error.bas","error",""
"vm","redim_without_preserve_resets.bas","ok","0,0,0,0,0"
"vm","resume_label_basic.bas","ok","6"
"vm","resume_next_statement_ok.bas","ok","1"
"vm","resume_statement_basic.bas","ok","2"
"vm","select_case_basic.bas","ok","20"
"vm","select_case_else.bas","ok","99"
"vm","select_case_is_range.bas","ok","22"
