# Value Model Memory Lane Log

- Workdir: C:\Work\DnaCalc\OxVba\temp\value-model-migration\worktrees\candidate_vmd7-mem-bstr-coreonly
- Command: cargo run -q --manifest-path C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_memory_vmd7-mem-bstr-coreonly\generated\layout_probe_candidate\Cargo.toml
- ExitCode: 0
- ElapsedMs: 28361.88
- PeakWorkingSetBytes: 11300864
- SteadyWorkingSetBytes: 11300864
- PeakPrivateBytes: 3645440
- PeakVirtualBytes: 4436656128

## stdout
type_name,size_bytes,align_bytes
RustString,24,8
BStr,24,8
RuntimeValue,64,8
Variant,80,8
SafeArray,64,8
SafeArrayBound,8,4
F64Value,16,8
CurrencyValue,8,8
ObjectIdentityCarrier,8,8
BindingHandle,4,4
ComValue,64,8
ComInvokeArg,88,8
ComCallbackPayload,48,8

## stderr
