"run_id","type_name","baseline_size_bytes","candidate_size_bytes","delta_size_bytes","baseline_align_bytes","candidate_align_bytes","delta_align_bytes"
"vmd7-mem-bstr-coreonly","RustString","24","24","0","8","8","0"
"vmd7-mem-bstr-coreonly","BStr","24","24","0","8","8","0"
"vmd7-mem-bstr-coreonly","RuntimeValue","64","64","0","8","8","0"
"vmd7-mem-bstr-coreonly","Variant","16","80","64","8","8","0"
"vmd7-mem-bstr-coreonly","SafeArray","64","64","0","8","8","0"
"vmd7-mem-bstr-coreonly","SafeArrayBound","8","8","0","4","4","0"
"vmd7-mem-bstr-coreonly","F64Value","16","16","0","8","8","0"
"vmd7-mem-bstr-coreonly","CurrencyValue","8","8","0","8","8","0"
"vmd7-mem-bstr-coreonly","ObjectIdentityCarrier","4","8","4","4","8","4"
"vmd7-mem-bstr-coreonly","BindingHandle","4","4","0","4","4","0"
"vmd7-mem-bstr-coreonly","ComValue","64","64","0","8","8","0"
"vmd7-mem-bstr-coreonly","ComInvokeArg","88","88","0","8","8","0"
"vmd7-mem-bstr-coreonly","ComCallbackPayload","40","48","8","8","8","0"
