"run_id","type_name","baseline_size_bytes","candidate_size_bytes","delta_size_bytes","baseline_align_bytes","candidate_align_bytes","delta_align_bytes"
"vmf2-mem-identity-smoke","RustString","24","24","0","8","8","0"
"vmf2-mem-identity-smoke","BStr","24","24","0","8","8","0"
"vmf2-mem-identity-smoke","RuntimeValue","64","64","0","8","8","0"
"vmf2-mem-identity-smoke","Variant","16","80","64","8","8","0"
"vmf2-mem-identity-smoke","SafeArray","64","64","0","8","8","0"
"vmf2-mem-identity-smoke","SafeArrayBound","8","8","0","4","4","0"
"vmf2-mem-identity-smoke","F64Value","16","16","0","8","8","0"
"vmf2-mem-identity-smoke","CurrencyValue","8","8","0","8","8","0"
"vmf2-mem-identity-smoke","ObjectIdentityCarrier","4","8","4","4","8","4"
"vmf2-mem-identity-smoke","BindingHandle","4","4","0","4","4","0"
"vmf2-mem-identity-smoke","ComValue","64","64","0","8","8","0"
"vmf2-mem-identity-smoke","ComInvokeArg","88","88","0","8","8","0"
"vmf2-mem-identity-smoke","ComCallbackPayload","40","48","8","8","8","0"
