"run_id","type_name","baseline_size_bytes","candidate_size_bytes","delta_size_bytes","baseline_align_bytes","candidate_align_bytes","delta_align_bytes"
"vmmem3-smoke","RustString","24","24","0","8","8","0"
"vmmem3-smoke","BStr","24","24","0","8","8","0"
"vmmem3-smoke","RuntimeValue","64","64","0","8","8","0"
"vmmem3-smoke","Variant","16","16","0","8","8","0"
"vmmem3-smoke","SafeArray","64","64","0","8","8","0"
"vmmem3-smoke","SafeArrayBound","8","8","0","4","4","0"
"vmmem3-smoke","F64Value","16","16","0","8","8","0"
"vmmem3-smoke","CurrencyValue","8","8","0","8","8","0"
"vmmem3-smoke","ObjectHandle","4","4","0","4","4","0"
"vmmem3-smoke","BindingHandle","4","4","0","4","4","0"
"vmmem3-smoke","ComValue","64","64","0","8","8","0"
"vmmem3-smoke","ComInvokeArg","88","88","0","8","8","0"
"vmmem3-smoke","ComCallbackPayload","40","40","0","8","8","0"
