clause_id,domain,status,verification_scope,verification_anchor,foundation_source
PMR-GEN-001,global,implemented-verified,host-tests,project_graph_operations_are_deterministic_for_equal_inputs,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01229
PMR-GEN-002,global,implemented-partial,host-tests,compile_withevents_declaration_in_single_module_subset_succeeds;compile_implements_directive_in_single_module_subset_succeeds;compile_raiseevent_statement_in_single_module_subset_succeeds;compile_project_rejects_withevents_in_procedural_module;compile_project_rejects_implements_in_non_class_module;compile_project_rejects_raiseevent_in_non_class_module;compile_project_rejects_raiseevent_undeclared_event;module_unit_rejects_malformed_attribute_line;compile_project_rejects_option_private_for_non_procedural_module,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl
PMR-PROJ-001,project,implemented-verified,host-tests,project_graph_rejects_invalid_project_name,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0035
PMR-PROJ-002,project,implemented-verified,host-tests,references_are_precedence_ordered_and_case_insensitive_unique,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0038
PMR-PROJ-003,project,implemented-verified,host-tests,references_are_precedence_ordered_and_case_insensitive_unique,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01230
PMR-PROJ-004,project,implemented-verified,host-tests,project_graph_rejects_duplicate_project_name_case_insensitive,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01234
PMR-PROJ-005,project,specified-pending,conformance,host_project_public_entity_visibility,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01239
PMR-PROJ-006,project,specified-pending,conformance,open_host_project_extension_contract,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01240
PMR-MOD-001,module,implemented-partial,host-tests,module_kind_modeling_in_project_node,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0039
PMR-MOD-002,module,implemented-verified,host-tests,project_node_rejects_duplicate_module_name_case_insensitive,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0041
PMR-MOD-003,module,implemented-verified,host-tests,PMR-E-MODULE-HEADER-VB-NAME_in_ProjectNode_add_module,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01285
PMR-MOD-004,module,implemented-verified,host-tests,project_node_rejects_module_name_over_31_chars,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01286
PMR-MOD-005,module,implemented-verified,host-tests,source_project_class_attribute_constraints_are_enforced,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0042
PMR-MOD-006,module,implemented-verified,host-tests,module_unit_parses_header_attributes_and_option_private,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01266
