source,target,result
Variant,Long,ok
Long,Variant,ok
Integer,Long,ok
Long,Integer,ok
Long,Object,type-mismatch
Object,Long,type-mismatch
Object,Object,ok
Object,Variant,ok
Variant,Object,ok
Array,Array,ok
Array,Long,type-mismatch
Long,Array,type-mismatch
String,Long,ok
Long,String,ok
Date,Long,ok
Long,Date,ok
Boolean,Date,ok
Date,Boolean,ok
String,Boolean,ok
Object,String,type-mismatch
String,Object,type-mismatch
Currency,Double,ok
Double,Currency,ok
Decimal,Long,ok
Long,Decimal,ok
LongPtr,Long,ok
Long,LongPtr,ok
Byte,Boolean,ok
Boolean,Byte,ok
Single,LongLong,ok
LongLong,Single,ok
Array,Variant,ok
Variant,Array,ok
Object,Array,type-mismatch
Array,Object,type-mismatch
Date,String,ok
String,Date,ok
Currency,Object,type-mismatch
Object,Currency,type-mismatch
